Plant_Code,Product_ID,Ship_ahead_day_count,Ship_Late_Day_count,Destination_Port,Unit_quantity,Weight
PLANT03,1699553,0,0,PORT09,678,1.740858902
PLANT03,1699553,0,0,PORT09,703,1.740858902
PLANT03,1699553,0,0,PORT09,680,1.740858902
PLANT03,1699557,0,0,PORT09,1141,3.045939285
PLANT03,1699557,0,0,PORT09,1530,4.568908928
PLANT03,1699557,0,0,PORT09,1107,3.045939285
PLANT03,1699557,0,0,PORT09,1089,3.045939285
PLANT03,1699557,0,0,PORT09,1081,3.045939285
PLANT03,1699555,0,0,PORT09,1144,2.910980721
PLANT03,1699555,0,0,PORT09,1094,2.910980721
PLANT03,1699555,0,0,PORT09,1137,2.910980721
PLANT03,1699555,0,0,PORT09,1145,2.910980721
PLANT03,1699555,0,0,PORT09,674,1.455490361
PLANT03,1699555,0,0,PORT09,660,1.455490361
PLANT03,1699555,0,0,PORT09,1949,5.821961442
PLANT03,1699310,0,0,PORT09,1164,6.566666667
PLANT03,1699310,0,0,PORT09,1176,6.56
PLANT03,1699311,0,0,PORT09,5666,41.2
PLANT03,1699311,0,0,PORT09,2971,20.58
PLANT03,1699310,0,0,PORT09,1198,6.48
PLANT03,1699265,0,0,PORT09,1279,4.643792751
PLANT03,1699526,0,0,PORT09,1905,6.44
PLANT03,1699525,0,0,PORT09,6697,25.6
PLANT03,1699526,0,0,PORT09,1882,6.4
PLANT03,1699525,0,0,PORT09,1895,6.38
PLANT03,1699700,0,0,PORT09,5250,3.94
PLANT03,1699022,0,0,PORT09,10278,35.52
PLANT03,1699674,0,0,PORT09,7449,21.50245113
PLANT03,1699674,0,0,PORT09,3000,8.438419173
PLANT03,1699345,0,0,PORT09,1323,2.985013808
PLANT03,1699345,0,0,PORT09,1271,2.985013808
PLANT03,1699345,0,0,PORT09,1327,2.985013808
PLANT03,1699345,0,0,PORT09,2278,5.970027615
PLANT03,1699540,0,0,PORT09,5120,8.615247601
